d_name,model_name,fit_time_mean,fit_trees_main_mean,fit_trees_inter_mean,test_score_mean,n_splits_mean,random_state_mean,test_size_mean,fit_time_std,fit_trees_main_std,fit_trees_inter_std,test_score_std,n_splits_std,random_state_std,test_size_std
synthetic_ordering10,EGB_XGB_GAM_CYCLIC_CYCLIC,31.029522132873534,100000.0,0.0,-0.021062098583841705,5,42,150,0.3868732833246074,0.0,0.0,0.0010463977479427816,0.0,0.0,0.0
synthetic_ordering10,EGB_XGB_GAM_CYCLIC_RANDOM_CYCLIC_RANDOM,30.271700191497803,100000.0,0.0,-0.021062098583841705,5,42,150,0.19332433477256844,0.0,0.0,0.0010463977479427816,0.0,0.0,0.0
synthetic_ordering10,EGB_XGB_GAM_CYCLIC_RANDOM_REVERSE_CYCLIC_RANDOM_REVERSE,31.994710302352907,100000.0,0.0,-0.021062098583841705,5,42,150,1.1924794654706128,0.0,0.0,0.0010463977479427816,0.0,0.0,0.0
synthetic_ordering10,EGB_XGB_GAM_CYCLIC_REVERSE_CYCLIC_REVERSE,31.17262420654297,100000.0,0.0,-0.021062098583841705,5,42,150,1.4582481562190226,0.0,0.0,0.0010463977479427816,0.0,0.0,0.0
synthetic_ordering10,EGB_XGB_GAM_RANDOM_RANDOM,30.477099704742432,100000.0,0.0,-0.021062098583841705,5,42,150,0.2880826032663907,0.0,0.0,0.0010463977479427816,0.0,0.0,0.0
synthetic_ordering100,EBM_GAM,1.2680253982543945,100000.0,0.0,-0.021048217675849003,5,42,150,0.05945065431447059,0.0,0.0,0.0010477229398813104,0.0,0.0,0.0
synthetic_ordering100,EGB_XGB_GAM_BEST_FIT_BEST_FIT,96.93837471008301,100000.0,0.0,-0.021062098583841705,5,42,150,0.7233813389570651,0.0,0.0,0.0010463977479427816,0.0,0.0,0.0
synthetic_ordering100,EGB_XGB_GAM_CYCLIC_CYCLIC,79.37276129722595,100000.0,0.0,-0.021062098583841705,5,42,150,2.369518840871093,0.0,0.0,0.0010463977479427816,0.0,0.0,0.0
synthetic_ordering100,EGB_XGB_GAM_CYCLIC_RANDOM_CYCLIC_RANDOM,77.03502507209778,100000.0,0.0,-0.021062098583841705,5,42,150,0.8118821315432005,0.0,0.0,0.0010463977479427816,0.0,0.0,0.0
synthetic_ordering100,EGB_XGB_GAM_CYCLIC_RANDOM_REVERSE_CYCLIC_RANDOM_REVERSE,80.4249454498291,100000.0,0.0,-0.02106209858384172,5,42,150,6.942333463184378,0.0,0.0,0.0010463977479427842,0.0,0.0,0.0
synthetic_ordering100,EGB_XGB_GAM_CYCLIC_REVERSE_CYCLIC_REVERSE,79.81938648223877,100000.0,0.0,-0.021062098583841705,5,42,150,1.6129506557501532,0.0,0.0,0.0010463977479427816,0.0,0.0,0.0
synthetic_ordering100,EGB_XGB_GAM_RANDOM_RANDOM,76.82929663658142,100000.0,0.0,-0.021062098583841705,5,42,150,1.6031714844136193,0.0,0.0,0.0010463977479427816,0.0,0.0,0.0
synthetic_ordering1000,EBM_GAM,3.295103979110718,100000.0,0.0,-0.02104821767584906,5,42,150,0.09784960738231334,0.0,0.0,0.0010477229398813137,0.0,0.0,0.0
synthetic_ordering1000,EGB_XGB_GAM_BEST_FIT_BEST_FIT,1268.055847644806,100000.0,0.0,-0.021062098583841705,5,42,150,35.10236064238858,0.0,0.0,0.0010463977479427816,0.0,0.0,0.0
synthetic_ordering1000,EGB_XGB_GAM_CYCLIC_CYCLIC,1112.4290355205535,100000.0,0.0,-0.02106209858384168,5,42,150,7.378704600903319,0.0,0.0,0.0010463977479428183,0.0,0.0,0.0
synthetic_ordering1000,EGB_XGB_GAM_CYCLIC_RANDOM_CYCLIC_RANDOM,1120.9019351005554,100000.0,0.0,-0.021062098583841705,5,42,150,7.1224356822763495,0.0,0.0,0.0010463977479427816,0.0,0.0,0.0
synthetic_ordering1000,EGB_XGB_GAM_CYCLIC_REVERSE_CYCLIC_REVERSE,1184.0414048194884,100000.0,0.0,-0.02106209858384168,5,42,150,28.277850400781052,0.0,0.0,0.0010463977479428183,0.0,0.0,0.0
synthetic_ordering1000,EGB_XGB_GAM_RANDOM_RANDOM,1103.2732002735138,100000.0,0.0,-0.02106209858384176,5,42,150,7.624555990982616,0.0,0.0,0.0010463977479427838,0.0,0.0,0.0
wine,EBM_GA2M,14.68488597869873,64152.0,44995.2,-0.6895605393908921,5,42,735,3.569283917406482,9270.347485396649,8834.27796710065,0.01238669895716792,0.0,0.0,0.0
wine,EBM_GAM,1.6518058776855469,64152.0,0.0,-0.7116060722527523,5,42,735,0.31141124331291553,9270.347485396649,0.0,0.012054834817647613,0.0,0.0,0.0
wine,EGB_XGB_GAM_BEST_FIT_BEST_FIT,38.23279433250427,64396.4,0.0,-0.7109543497460523,5,42,735,6.398214213580242,10058.356366723143,0.0,0.012295808406697471,0.0,0.0,0.0
wine,EGB_XGB_GAM_CYCLIC_CYCLIC,42.74957957267761,80827.6,0.0,-0.7087260580732211,5,42,735,5.348985389611528,7115.95459513339,0.0,0.01200940869741624,0.0,0.0,0.0
wine,Spline,5.101180601119995,0.0,0.0,-0.7439914070613651,5,42,735,0.29259545034770656,0.0,0.0,0.030843208921976846,0.0,0.0,0.0
wine,XGB,0.2748023509979248,0.0,0.0,-0.6523171119062017,5,42,735,0.1304107684786876,0.0,0.0,0.015005810076394437,0.0,0.0,0.0
